transaction_id,transaction_ts,customer_id,customer_name,gender,age,signup_date,county,town,merchant_id,merchant_name,category,product,quantity,unit_price_kes,discount_pct,amount_kes,delivery_fee_kes,channel,payment_method,device_os,status,rating,session_id,delivery_days
TXN204974,2025-01-01 00:40:01,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1096,Pamoja Mart,Groceries,Cooking Oil 3L,2,1338.0,0,2676.0,150,Agent Outlet,M-Pesa,Android,Completed,,SES704972,2
TXN203703,2025-01-01 08:16:15,CUST5588,Otieno Ali,Male,25,2024-07-16,Nairobi,Ruaraka,MER1116,Twiga Supplies,Airtime & Data,Airtime Voucher 250,1,457.0,0,457.0,0,USSD,M-Pesa,Feature Phone,Completed,5,SES703702,
TXN205156,2025-01-01 08:23:00,CUST6497,Mueni Mburu,Female,46,2024-11-12,Kajiado,Ongata Rongai,MER1041,Safi Ltd,Agriculture,Poultry Feed 20kg,4,10711.0,0,42844.0,350,Mobile App,M-Pesa,Android,Completed,4,SES705154,2
TXN206534,2025-01-01 09:17:06,CUST5668,Odhiambo Koech,Male,20,2024-11-28,Kajiado,Kitengela,MER1028,Amani Agencies,Airtime & Data,Airtime Voucher 250,2,737.0,0,1474.0,0,Mobile App,M-Pesa,Android,Completed,,SES706531,
TXN207713,2025-01-01 09:51:33,CUST6052,Salim Koech,Male,29,2024-10-28,Machakos,Mlolongo,MER1008,Tumaini Mart,Utilities,Internet Monthly,1,3425.0,10,3082.5,0,Agent Outlet,Cash,Android,Completed,4,SES707710,
TXN214735,2025-01-01 10:15:23,CUST5723,Muthoni Osoro,Female,28,2024-05-22,Nairobi,Ruaraka,MER1100,Pamoja Dukas,Food & Beverage,Pilau Serving,5,1596.0,5,7581.0,300,Mobile App,Bank Transfer,Android,Completed,,SES714726,4
TXN214702,2025-01-01 11:17:41,CUST5588,Otieno Ali,Male,25,2024-07-16,Nairobi,Ruaraka,MER1073,Chapa Enterprises,Transport,Shuttle Ticket,3,752.0,5,2143.2,0,USSD,M-Pesa,Feature Phone,Completed,,SES714693,
TXN209654,2025-01-01 11:18:42,CUST6781,Muthoni Kiptoo,Female,42,2024-03-10,Kiambu,Ruiru,MER1013,Amani Supplies,Food & Beverage,Mandazi Pack,1,1809.0,0,1809.0,350,USSD,M-Pesa,Feature Phone,Pending,,SES709648,
TXN205315,2025-01-01 13:29:55,CUST6004,Atieno Juma,Female,29,2024-03-11,Nairobi,Ruaraka,MER1021,Twiga Collection,Groceries,Rice Pishori 5kg,3,2421.0,0,7263.0,150,Mobile App,Cash,Android,Completed,5,SES705313,2
TXN200628,2025-01-01 13:34:26,CUST5051,Chebet Mutua,Female,27,2024-08-18,Garissa,Garissa Town,MER1058,Twiga Collection,Airtime & Data,Safaricom Airtime 100,1,519.0,0,519.0,0,Agent Outlet,Cash,Feature Phone,Completed,4,SES700628,
TXN207096,2025-01-01 14:44:08,CUST5694,Wanyonyi Cheruiyot,Male,20,2024-06-07,Nakuru,Gilgil,MER1105,Furaha Ltd,Airtime & Data,Telkom Bundle 5GB,3,976.0,0,2928.0,0,USSD,M-Pesa,Android,Failed,,SES707093,
TXN203150,2025-01-01 15:42:48,CUST5526,Wangari Mburu,Female,33,2024-11-28,Kisumu,Mamboleo,MER1067,Baraka Enterprises,Airtime & Data,Airtime Voucher 250,1,1143.0,0,1143.0,0,Mobile App,Airtel Money,Android,Completed,,SES703149,
TXN200477,2025-01-01 17:35:25,CUST5826,Wanyonyi Bett,Male,32,2025-01-01,Kisumu,Mamboleo,MER1002,Chapa Mart,Electronics,Bluetooth Speaker,1,16043.0,0,16043.0,100,Agent Outlet,M-Pesa,Android,Completed,5,SES700477,4
TXN205476,2025-01-01 18:05:46,CUST5421,Maina Hassan,Male,29,2024-02-05,Nakuru,Bahati,MER1066,Twiga Mart,Airtime & Data,Safaricom Data 10GB,2,1138.0,0,2276.0,0,Agent Outlet,Card,Android,Completed,,SES705474,
TXN202161,2025-01-01 18:23:59,CUST5477,Nasimiyu Mbugua,Female,34,2024-05-11,Nairobi,Langata,MER1021,Twiga Collection,Groceries,Sukari 1kg,1,2356.0,5,2238.2,0,Mobile App,M-Pesa,Android,Failed,,SES702160,
