transaction_id,transaction_timestamp,customer_id,customer_name,gender,age,county,phone_number,channel,transaction_type,merchant_category,device_type,amount_kes,transaction_fee_kes,balance_after_kes,status
TXN0000142,2024-01-01 07:51:33,CUST00093,Achieng Omollo,Female,43,Trans Nzoia,0722032123,M-Pesa,Buy Goods (Till),Hardware,Feature Phone,16624.41,62,41335.52,Completed
TXN0002262,2024-01-01 07:54:30,CUST00401,Rotich Kiplagat,Male,52,Turkana,0701747827,M-Pesa,Deposit Cash,N/A,Android,24541.89,0.0,181880.31,Completed
TXN0004820,2024-01-01 08:07:24,CUST00406,Atieno Wabwire,Male,20,Meru,0723381770,M-Pesa,Buy Goods (Till),Hardware,Android,2745.8,33,73354.11,Completed
TXN0003825,2024-01-01 08:35:18,CUST00146,Gitau Karanja,Male,71,Nairobi,0722934999,Airtel Money,Send Money,N/A,Android,13159.67,62,9511.86,Completed
TXN0003076,2024-01-01 09:02:16,CUST00253,Njeri Barasa,Male,63,Kisumu,0710755182,M-Pesa,Send Money,N/A,Android,28359.7,100,222644.38,Completed
TXN0001119,2024-01-01 10:13:41,CUST00080,Wairimu Karanja,Female,59,Nakuru,0768299802,M-Pesa,Send Money,N/A,iOS,61662.04,108,148959.43,Completed
TXN0002858,2024-01-01 10:56:55,CUST00570,Maina Chepkwony,Male,59,Bungoma,0790548571,M-Pesa,Pay Bill,Internet (ISP),Android,57898.44,108,29624.97,Completed
TXN0004575,2024-01-01 12:13:38,CUST00441,Otieno Otieno,Female,39,Nairobi,0722426598,M-Pesa,Send Money,N/A,Feature Phone,34748.96,108,178642.16,Completed
TXN0004360,2024-01-01 13:05:27,CUST00759,Cheruiyot Kiplagat,Female,59,Nairobi,0759119346,M-Pesa,Buy Goods (Till),Clothing,Android,18997.8,87,222838.81,Completed
TXN0003571,2024-01-01 13:11:25,CUST00765,Nyambura Mutiso,Male,61,Nairobi,0710349640,Equitel,Pay Bill,Insurance,Feature Phone,16456.86,55,34488.35,Completed
TXN0005129,2024-01-01 13:23:08,CUST00026,Nafula Omollo,Male,60,Nairobi,0759846198,Equitel,Withdraw Cash,N/A,Feature Phone,26605.87,108,182229.78,Completed
TXN0005960,2024-01-01 13:27:40,CUST00739,Kiprop Mwangi,Male,19,Mombasa,0710079037,M-Pesa,Withdraw Cash,N/A,Android,924.15,15,159233.42,Completed
TXN0002644,2024-01-01 16:34:06,CUST00537,Onyango Langat,Female,43,Garissa,0701386696,Airtel Money,Send Money,N/A,Android,23431.26,105,39148.25,Completed
TXN0002477,2024-01-01 17:31:54,CUST00219,Chelagat Sang,Female,30,Nyeri,0759720423,Airtel Money,Withdraw Cash,N/A,Feature Phone,32131.32,0.0,75487.92,Failed
TXN0005372,2024-01-01 17:57:00,CUST00571,Wairimu Waweru,Male,53,Mombasa,0722896610,Airtel Money,Send Money,N/A,Android,27479.79,100,195546.95,Completed
TXN0004748,2024-01-01 18:15:20,CUST00489,Anyango Kiplagat,Male,51,Kakamega,0723136978,M-Pesa,Withdraw Cash,N/A,Android,33795.26,105,40798.06,Completed
TXN0003721,2024-01-01 21:58:58,CUST00209,Adhiambo Owuor,Female,56,Kisumu,0768208941,M-Pesa,Buy Goods (Till),Hardware,Android,10335.3,87,137758.59,Completed
TXN0005727,2024-01-01 21:59:36,CUST00502,Waweru Odhiambo,Female,52,Kiambu,0768464710,M-Pesa,Airtime Purchase,N/A,Feature Phone,364.92,0.0,39824.9,Failed
